Name: juniyasyos/nexaid
Version: dev-main 4e49aef
Licenses: proprietary
Dependencies:

Name                                        Version    Licenses                                 
sebastian/diff                              7.0.0      BSD-3-Clause                             
sebastian/environment                       8.1.0      BSD-3-Clause                             
sebastian/exporter                          7.0.2      BSD-3-Clause                             
sebastian/global-state                      8.0.2      BSD-3-Clause                             
sebastian/lines-of-code                     4.0.0      BSD-3-Clause                             
sebastian/object-enumerator                 7.0.0      BSD-3-Clause                             
sebastian/object-reflector                  5.0.0      BSD-3-Clause                             
sebastian/recursion-context                 7.0.1      BSD-3-Clause                             
sebastian/type                              6.0.3      BSD-3-Clause                             
sebastian/version                           6.0.0      BSD-3-Clause                             
spatie/image                                3.9.4      MIT                                      
spatie/image-optimizer                      1.8.1      MIT                                      
spatie/invade                               2.1.0      MIT                                      
spatie/laravel-activitylog                  4.12.3     MIT                                      
spatie/laravel-medialibrary                 11.22.1    MIT                                      
spatie/laravel-package-tools                1.93.0     MIT                                      
spatie/laravel-permission                   6.25.0     MIT                                      
spatie/shiki-php                            2.4.0      MIT                                      
spatie/temporary-directory                  2.3.1      MIT                                      
spomky-labs/cbor-php                        3.2.3      MIT                                      
spomky-labs/pki-framework                   1.4.2      MIT                                      
staabm/side-effects-detector                1.0.5      MIT                                      
stechstudio/filament-impersonate            4.1.4      MIT                                      
symfony/clock                               v7.4.8     MIT                                      
symfony/console                             v7.4.11    MIT                                      
symfony/css-selector                        v8.0.9     MIT                                      
symfony/deprecation-contracts               v3.7.0     MIT                                      
symfony/error-handler                       v7.4.8     MIT                                      
symfony/event-dispatcher                    v8.0.9     MIT                                      
symfony/event-dispatcher-contracts          v3.7.0     MIT                                      
symfony/filesystem                          v8.0.11    MIT                                      
symfony/finder                              v7.4.8     MIT                                      
symfony/html-sanitizer                      v8.0.8     MIT                                      
symfony/http-foundation                     v7.4.8     MIT                                      
symfony/http-kernel                         v7.4.11    MIT                                      
symfony/mailer                              v7.4.8     MIT                                      
symfony/mime                                v7.4.9     MIT                                      
symfony/polyfill-ctype                      v1.37.0    MIT                                      
symfony/polyfill-intl-grapheme              v1.37.0    MIT                                      
symfony/polyfill-intl-idn                   v1.37.0    MIT                                      
symfony/polyfill-intl-normalizer            v1.37.0    MIT                                      
symfony/polyfill-mbstring                   v1.37.0    MIT                                      
symfony/polyfill-php80                      v1.37.0    MIT                                      
symfony/polyfill-php83                      v1.37.0    MIT                                      
symfony/polyfill-php84                      v1.37.0    MIT                                      
symfony/polyfill-php85                      v1.37.0    MIT                                      
symfony/polyfill-uuid                       v1.37.0    MIT                                      
symfony/process                             v7.4.11    MIT                                      
symfony/property-access                     v7.4.8     MIT                                      
symfony/property-info                       v7.4.8     MIT                                      
symfony/psr-http-message-bridge             v7.4.8     MIT                                      
symfony/routing                             v7.4.9     MIT                                      
symfony/serializer                          v7.4.10    MIT                                      
symfony/service-contracts                   v3.7.0     MIT                                      
symfony/string                              v8.0.11    MIT                                      
symfony/translation                         v8.0.10    MIT                                      
symfony/translation-contracts               v3.7.0     MIT                                      
symfony/type-info                           v8.0.9     MIT                                      
symfony/uid                                 v7.4.9     MIT                                      
symfony/var-dumper                          v7.4.8     MIT                                      
symfony/yaml                                v8.0.11    MIT                                      
ta-tikoma/phpunit-architecture-test         0.8.7      MIT                                      
theseer/tokenizer                           2.0.1      BSD-3-Clause                             
tijsverkoyen/css-to-inline-styles           v2.4.0     BSD-3-Clause                             
ueberdosis/tiptap-php                       2.1.0      MIT                                      
vlucas/phpdotenv                            v5.6.3     BSD-3-Clause                             
voku/portable-ascii                         2.1.1      MIT                                      
web-auth/cose-lib                           4.5.2      MIT                                      
web-auth/webauthn-lib                       5.2.4      MIT                                      
webmozart/assert                            2.3.0      MIT    
